,xbin,zbin,bin.hits,lidar.pulses,sky.hits,can.hits,Freq,vai,,,,
442,20,4,15,486,0,485,1,0.434082036,,,,
443,20,5,0,0,0,0,1,0,,,,
444,20,6,0,0,0,0,1,0,,,,
445,20,7,15,486,0,485,1,0.434082036,,,,
446,20,8,0,0,0,0,1,0,,,,
447,20,9,0,0,0,0,1,0,,,,
448,20,10,0,0,0,0,1,0,,,,
449,20,11,0,0,0,0,1,0,,,,
450,20,12,0,0,0,0,1,0,,,,
451,20,13,0,0,0,0,1,0,,,,
452,20,14,5,486,0,485,1,0.155399969,,,,
453,20,15,0,0,0,0,1,0,,,,
454,20,16,0,0,0,0,1,0,,,,
455,20,17,0,0,0,0,1,0,,,,
456,20,18,0,0,0,0,1,0,,,,
457,20,19,0,0,0,0,1,0,,,,
458,20,20,0,0,0,0,1,0,,,,
459,20,21,0,0,0,0,1,0,,,,
460,20,22,0,0,0,0,1,0,,,,
461,21,0,0,0,0,0,1,0,,,,
462,21,1,0,0,0,0,1,0,,,,
463,21,2,149,585,0,585,1,2.197436988,,,,
464,21,3,312,585,0,585,1,3.292922683,,,,
465,21,4,98,585,0,585,1,1.679377234,,,,
466,21,5,7,585,0,585,1,0.179635157,,,,
467,21,6,0,0,0,0,1,0,,,,
468,21,7,0,0,0,0,1,0,,,,
469,21,8,0,0,0,0,1,0,,,,
470,21,9,0,0,0,0,1,0,,,,
471,21,10,0,0,0,0,1,0,,,,
472,21,11,0,0,0,0,1,0,,,,
473,21,12,0,0,0,0,1,0,,,,
474,21,13,0,0,0,0,1,0,,,,
475,21,14,0,0,0,0,1,0,,,,
476,21,15,0,0,0,0,1,0,,,,
477,21,16,19,585,0,585,1,0.45438937,,,,
478,21,17,0,0,0,0,1,0,,,,
479,21,18,0,0,0,0,1,0,,,,
480,21,19,0,0,0,0,1,0,,,,
481,21,20,0,0,0,0,1,0,,,,
482,21,21,0,0,0,0,1,0,,,,
483,21,22,0,0,0,0,1,0,,,,
484,22,0,0,0,0,0,1,0,,,,
485,22,1,0,0,0,0,1,0,,,,
486,22,2,543,584,0,584,1,4.23304933,,,,
487,22,3,24,584,0,584,1,0.559426841,,,,
488,22,4,9,584,0,584,1,0.228498499,,,,
489,22,5,4,584,0,584,1,0.104789758,,,,
490,22,6,0,0,0,0,1,0,,,,
491,22,7,0,0,0,0,1,0,,,,
492,22,8,0,0,0,0,1,0,,,,
493,22,9,0,0,0,0,1,0,,,,
494,22,10,0,0,0,0,1,0,,,,
495,22,11,0,0,0,0,1,0,,,,
496,22,12,0,0,0,0,1,0,,,,
497,22,13,0,0,0,0,1,0,,,,
498,22,14,0,0,0,0,1,0,,,,
499,22,15,0,0,0,0,1,0,,,,
500,22,16,4,584,0,584,1,0.104789758,,,,
501,22,17,0,0,0,0,1,0,,,,
502,22,18,0,0,0,0,1,0,,,,
503,22,19,0,0,0,0,1,0,,,,
504,22,20,0,0,0,0,1,0,,,,
505,22,21,0,0,0,0,1,0,,,,
506,22,22,0,0,0,0,1,0,,,,
507,23,0,0,0,0,0,1,0,,,,
508,23,1,0,0,0,0,1,0,,,,
509,23,2,149,584,8,576,1,2.199718912,,,,
510,23,3,0,0,0,0,1,0,,,,
511,23,4,156,584,8,576,1,2.261435659,,,,
512,23,5,0,0,0,0,1,0,,,,
513,23,6,0,0,0,0,1,0,,,,
514,23,7,0,0,0,0,1,0,,,,
515,23,8,0,0,0,0,1,0,,,,
516,23,9,15,584,8,576,1,0.36750636,,,,
517,23,10,112,584,8,576,1,1.837511273,,,,
518,23,11,0,0,0,0,1,0,,,,
519,23,12,0,0,0,0,1,0,,,,
520,23,13,0,0,0,0,1,0,,,,
521,23,14,0,0,0,0,1,0,,,,
522,23,15,0,0,0,0,1,0,,,,
523,23,16,0,0,0,0,1,0,,,,
524,23,17,0,0,0,0,1,0,,,,
525,23,18,16,584,8,576,1,0.389763235,,,,
526,23,19,79,584,8,576,1,1.447728751,,,,
527,23,20,49,584,8,576,1,1.012368918,,,,
528,23,21,0,0,0,0,1,0,,,,
529,23,22,0,0,0,0,1,0,,,,
530,24,0,0,0,0,0,1,0,,,,
531,24,1,0,0,0,0,1,0,,,,
532,24,2,0,0,0,0,1,0,,,,
533,24,3,0,0,0,0,1,0,,,,
534,24,4,0,0,0,0,1,0,,,,
535,24,5,0,0,0,0,1,0,,,,
536,24,6,30,584,44,540,1,0.677850389,,,,
537,24,7,5,584,44,540,1,0.13015124,,,,
538,24,8,0,0,0,0,1,0,,,,
539,24,9,166,584,44,540,1,2.346424363,,,,
540,24,10,293,584,44,540,1,3.194831043,,,,
541,24,11,0,0,0,0,1,0,,,,
542,24,12,6,584,44,540,1,0.155195142,,,,
543,24,13,25,584,44,540,1,0.579657479,,,,
544,24,14,0,0,0,0,1,0,,,,
545,24,15,0,0,0,0,1,0,,,,
546,24,16,0,0,0,0,1,0,,,,
547,24,17,0,0,0,0,1,0,,,,
548,24,18,0,0,0,0,1,0,,,,
549,24,19,8,584,44,540,1,0.204361342,,,,
550,24,20,7,584,44,540,1,0.17992932,,,,
551,24,21,0,0,0,0,1,0,,,,
552,24,22,0,0,0,0,1,0,,,,
553,25,0,0,0,0,0,1,0,,,,
