"","plot","mean.height_mean","mode.el_mean","height.2_mean","max.el_mean","mode.2_mean","max.can.ht_mean","mean.max.ht_mean","mean.vai_mean","max.vai_mean","deep.gaps_mean","porosity_mean","std.std_mean","mean.std_mean","rugosity_mean","top.rugosity_mean","plot_1_mean","mean.return.ht_mean","sd.return.ht_mean","sky.fraction_mean","cover.fraction_mean","max.ht_mean","rumple_mean","clumping.index_mean","mean.height_sd","mode.el_sd","height.2_sd","max.el_sd","mode.2_sd","max.can.ht_sd","mean.max.ht_sd","mean.vai_sd","max.vai_sd","deep.gaps_sd","porosity_sd","std.std_sd","mean.std_sd","rugosity_sd","top.rugosity_sd","plot_1_sd","mean.return.ht_sd","sd.return.ht_sd","sky.fraction_sd","cover.fraction_sd","max.ht_sd","rumple_sd","clumping.index_sd"
"21","FERNW7",8.88037243,8.825,4.3371938265,23,6.387764864,24.812,15.835725,7.3551700955,8.028985507,0,0.6944357365,356.0057485,12.047161235,14.412266955,6.757377182,NA,7.9351081785,5.243976872,1.590961962,98.409038035,24.812,3.925,0.847222151,0.108320997673748,1.37885822331377,0.612090069018609,4.24264068711928,0.529547054225201,5.20713433665774,2.02575486208228,0.299352263522073,0.0136638995086237,0,0.0335820305105169,82.4971258260503,2.34626869539568,0.900808027793409,2.16568081758503,2.82842712474619,0.30401669340417,0.90146499646117,1.2727485267357,1.27274852814991,5.20713433665774,0.318198051533946,0.0993766908614351
"22","GRSM50",9.3950714545,8.375,5.4211716935,27.5,6.6191484385,32.239,16.79085,6.106935174,8.011965812,0,0.779917115,1231.6699663,18.47315831,28.23298888,8.2720641955,NA,7.3714998955,5.5536237125,14.4904560315,85.50954397,32.239,4.8375,0.9296584105,2.36143616484351,3.57088924499207,1.15221599364786,10.6066017177982,2.74613326185556,3.74766594028871,2.44581164544615,1.40038783440653,0.00483491756968147,0,0.00581335536494529,918.532497468229,6.48700664743005,12.0224872200133,0.568353479548904,2.12132034355964,0.293100910660511,0.452479772521926,13.1190260584599,13.1190260605812,3.74766594028871,0.441941738241592,0.0121071933232407
"23","GRSM53",9.500238863,7.4,6.467680267,33.5,7.3423094195,38.582,19.88,7.628669994,8.5712315945,0,0.7934214745,2811.531208,31.40970947,42.709494045,12.346795725,NA,8.685828677,8.1748575725,0.954845881,99.04515412,38.582,10.45,0.9380187185,2.34068966814695,2.68700576850888,0.867530372103962,6.36396103067893,2.03494097466502,0.861256059485217,2.65677695361315,0.320608360762123,0.735896196083461,0,0.0278649929886641,126.166015336889,0.259974030642909,1.28583351085149,0.538037316459607,0.707106781186548,2.03251647592507,0.420145404349648,0.958239181164412,0.958239176921769,0.861256059485217,0.777817459305202,0.028825791298164
"24","GRSM55",9.74258627233333,8,6.17374414133333,32.3333333333333,7.34213230233333,36.683,21.518125,7.35786227933333,8.800128207,0,0.771161343333333,2126.64557366667,28.6607065533333,35.35138813,10.1612270363333,NA,8.25698075366667,7.085637368,2.14783529233333,97.85216471,36.683,8.95833333333333,0.935011646,1.24241574045751,1.48134229670255,0.455844638883305,3.51188458428425,1.26303796034697,1.6100959598732,3.34569317565508,0.490061715991032,1.30798921724337,0,0.0533553677034261,285.964108578591,5.96441633469402,6.90354864277276,0.903152622562918,1,1.60854244855089,1.15319915151536,1.70572054514049,1.70572054794475,1.6100959598732,1.1408147673191,0.0123708307878481
"25","GRSM57",11.4999643003333,9.525,6.65769666166667,32.6666666666667,8.17415141033333,36.953,23.6248666666667,7.04205568366667,8.024735499,0,0.744549289,2430.483574,32.5124881166667,36.7303952933333,10.0033979756667,NA,10.1524304923333,8.108579716,5.24002142133333,94.75997858,36.953,8.175,0.938190776333333,3.22938148029811,3.31257075396134,0.858719908433768,0.577350269189626,1.5734708704143,3.49449152238205,3.88922930044737,0.69765584144282,0.0108062510100081,0,0.0535996718737279,412.92874124544,5.1574877578884,3.1384627593142,2.44681392944407,1,2.91082794870862,0.918728266203604,6.38313776825965,6.38313776949816,3.49449152238205,4.05485819727398,0.0381258394562784
"26","GRSM60",11.423585997,10.7,5.971305043,30,7.45513427,31.534,20.0512,6.9818080985,9.2741119825,0,0.702320076,669.19798115,18.7431545,17.393605035,6.3671383415,NA,9.9362581685,6.2338677825,4.1278889865,95.872111015,31.534,5.3375,0.895462716,4.91034968887392,5.86898628384834,0.639928692581188,2.82842712474619,1.45497285894162,0.214960461480709,3.09723376761426,0.377626408916526,1.5669797645565,0,0.036493673496807,173.743907736035,0.487766274028997,5.52008812367795,1.53012717072863,0.707106781186548,4.33848198478904,0.011069210065934,1.31516108633479,1.31516108987033,0.214960461480709,2.3864853865046,0.00996347678660056
"27","GRSM61",11.784416585,9.875,5.4340148875,24,6.2654997955,29.3885,21.2324375,6.568632371,8.012237279,0,0.701265295,1013.60127225,19.607161005,23.636146965,6.5783503405,NA,10.798460605,7.0638076645,9.957739532,90.04226047,29.3885,5.925,0.9505231615,0.609673880197547,0.530330085889911,0.27888885773247,0,1.01218803799193,1.26784245866748,0.812448013913813,1.49953036827159,0.00479096098373639,0,0.0347064370657275,729.047540577889,7.34386052172511,9.3302649904293,0.485316245905815,0.707106781186548,0.42176248755465,0.637770839565779,12.7207179273635,12.7207179301919,1.26784245866748,1.20208152801713,0.00132700113330189
"28","GRSM64",7.36060084566667,5.94166666666667,4.60573487366667,21,5.19577431433333,33.6733333333333,18.559775,7.66839549866667,10.4999423,0,0.742871148333333,1343.16578816667,21.0695334366667,29.3161666033333,9.86519307733333,NA,6.56484087366667,6.29656284633333,1.06238637266667,98.9376136266667,33.6733333333333,10.0166666666667,0.873318856333333,1.03122381204235,1.43795282722812,1.01167143899064,6.08276253029822,1.87632124284602,0.364214680282568,1.32561697970228,0.262846604820337,4.23487012600447,0,0.00825941120577565,518.791539888746,2.38309221631576,7.35018766454323,1.07889939177415,1,1.00398350218943,0.4890999478232,0.813096431025575,0.813096431109297,0.364214680282568,2.26802961473904,0.0326248350452608
"29","GRSM65",7.37209715,5.8375,3.2648606165,18,3.8269666375,25.682,16.633575,7.202371044,8.083020671,0,0.6523706895,301.13778435,11.87991277,12.3192506845,6.1109002855,NA,6.776978625,4.649782426,3.9205739705,96.07942603,25.682,6.225,0.903623377,1.07398081902944,0.760139789775539,0.117659835421732,0,0.320979296958718,3.69816846560564,0.654215193953794,0.42386701552637,0.0232588195129485,0,0.0563856698320666,117.01142748364,0.796501596342935,3.98103306374225,0.74355137935142,0.707106781186548,1.25762356784045,0.0191273713671713,3.02418470363367,3.02418470151234,3.69816846560564,1.06066017177982,0.0257969184928346
"30","GRSM66",8.77052223533333,7.1,5.32180504,23.3333333333333,6.24461267766667,32.5053333333333,19.1464666666667,7.24287315433333,8.11395811466667,0,0.778056835333333,1217.89423666667,21.0516247866667,26.7880901366667,9.360457003,NA,7.57498690033333,6.40636141466667,2.31015313966667,97.68984686,32.5053333333333,8.25833333333333,0.913779554,2.73873287678375,2.12588216982974,1.81752157461503,8.02080627701064,2.38177323813036,2.43672204679429,3.44521374847894,0.461958183592427,0.082797145492579,0,0.0332431413669115,575.403416770406,6.70931903867794,6.37709761511237,1.37089784961426,1,2.57224711098479,1.74786137803786,1.5034573610415,1.50345736303863,2.43672204679429,1.98845626890141,0.0139411113235069
