site,plot,transect,notes,mean.height,transect.length,mode.el,height.2,max.el,mode.2,max.can.ht,mean.max.ht,mean.vai,max.vai,deep.gaps,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,sky.fraction,cover.fraction,max.ht,rumple,clumping.index
MLBS,MLBS_060,MLBS_060W,MLBS_60W,8.681611102,40,7.55,3.357195777,16,4.295055297,16.947,12.6738,6.965624201,8.134228188,0,0.654166667,50.30134451,5.431520217,4.560694316,2.691436802,7.538756015,3.645047594,3.38844328,96.61155672,16.947,2.825,0.889904315
MLBS,MLBS_062,MLBS_062C,MLBS_62C,5.596633177,40,4.475,2.534805189,12,2.655065913,19.26,9.610825,8.010039391,8.9373297,0,0.67125,39.53450056,3.552523999,5.187877581,4.737555341,5.114486945,3.164907703,0.015267176,99.98473282,19.26,3.15,0.799256431
MLBS,MLBS_062,MLBS_062W,MLBS_62W,7.952270364,40,7.075,3.898362805,17,5.56051931,21.65,15.940125,6.857859991,8.877742947,0,0.675,551.373178,18.18570052,14.85440927,4.470199188,7.472207544,5.690769115,3.422695556,96.57730444,21.65,4.175,0.857763204
MLBS,MLBS_064,MLBS_064C,MLBS_64C,7.885576004,40,6.775,2.490239015,14,2.779275985,16.764,13.110675,7.20090124,9.574603175,0,0.641666667,81.56816048,6.033691946,6.720321568,3.1651335,7.253301078,3.498593934,3.498322722,96.50167728,16.764,3.025,0.914034601
MLBS,MLBS_064,MLBS_064E,MLBS_64E,8.276884044,40,7.475,3.719487531,18,4.914201359,18.585,13.951575,7.011012519,8.089635854,0,0.64125,112.5970409,7.908273686,7.075044043,3.743157908,7.68439484,4.55424289,2.879092476,97.12090752,18.585,3.25,0.91200895
MLBS,MLBS_064,MLBS_064W,MLBS_64W,8.317346867,40,6.6,3.628702452,18,4.121892769,18.995,14.4133,7.05043752,8.16969697,0,0.65,164.9158617,9.092749487,9.068504203,3.907139889,7.721185998,4.630154677,3.649181008,96.35081899,18.995,3.15,0.914453213
MLBS,MLBS_065,MLBS_065C,MLBS_65C,13.41466897,40,11.925,3.184287619,21,5.169078738,21.9,20.212425,7.100702478,8.64,0,0.629347826,540.9091423,18.07584726,14.63464684,1.05716277,12.84940633,5.229635939,2.616179002,97.383821,21.9,1.725,0.830653003
MLBS,MLBS_065,MLBS_065E,MLBS_65E,10.50480778,40,9.925,3.518268261,18,4.412411472,20.085,16.4892,7.251461864,8.836601307,0,0.607142857,117.9192967,8.116370598,7.214140629,2.935187892,9.959993529,4.496089405,1.904226257,98.09577374,20.085,3.2,0.875708196
MLBS,MLBS_065,MLBS_065W,MLBS_65W,16.22223708,40,16.325,4.177080227,23,4.633505692,23.769,19.962975,4.05606586,8.989690722,0,0.739,196.7827077,8.74193475,10.97092907,2.877825314,14.87927111,5.27382302,18.81821342,81.18178658,23.769,2.475,0.861818549
MLBS,MLBS_069,MLBS_069C,MLBS_69C,6.961259239,40,6.35,4.130927177,20,5.387717513,20.277,13.0847,7.531956482,8.603351955,0,0.713095238,192.5654864,8.702213256,10.80911518,5.066579265,5.730915965,4.205399659,1.154982541,98.84501746,20.277,3.925,0.859382317
MLBS,MLBS_069,MLBS_069E,MLBS_69E,8.464109821,40,7.775,4.023641721,19,4.745985145,19.093,14.634825,7.254149039,8.191489362,0,0.65125,147.5983794,8.505004146,8.675441425,4.730769997,7.921078286,4.851358798,3.066290929,96.93370907,19.093,3.6,0.948428344
