8.995,94
8.875,101
8.821,113
7.552,92
7.492,95
7.459,93
8.791,84
7.596,115
7.571,115
7.475,116
7.450,116
7.471,115
7.435,112
7.426,103
7.284,84
7.325,82
7.320,81
7.338,85
7.366,90
7.355,98
7.355,104
7.360,99
-99999999
7.341,95
7.359,93
7.347,96
7.341,95
7.309,89
7.346,81
7.320,81
7.242,86
7.284,89
9.026,86
9.011,88
8.973,90
7.530,104
7.480,104
7.530,104
7.447,102
7.462,106
9.004,96
8.949,95
8.966,93
8.999,95
9.008,97
8.954,91
8.985,92
8.936,88
8.966,93
7.464,100
7.472,102
7.498,109
7.430,104
7.414,100
7.329,104
6.796,109
6.790,114
6.719,115
6.588,107
8.998,90
8.967,89
6.721,109
6.641,108
6.577,104
8.954,91
8.960,92
8.992,99
9.050,114
9.045,106
8.954,91
8.962,98
8.976,101
9.025,114
8.861,98
7.600,97
7.550,97
7.568,101
8.816,84
8.795,85
8.770,85
8.810,88
8.859,92
8.987,104
6.584,106
6.634,119
8.840,93
8.844,94
8.853,91
8.744,94
8.828,115
8.766,112
8.996,113
8.808,103
7.494,108
7.491,107
7.413,94
7.430,98
7.401,97
7.488,94
7.541,95
7.701,97
8.753,91
8.795,85
8.921,100
8.886,104
8.853,96
8.929,102
9.060,110
8.990,105
8.891,99
8.857,97
8.875,101
8.951,108
8.958,103
9.027,101
8.971,100
9.077,101
9.045,106
9.161,110
4.169,111
4.206,121
4.150,119
4.130,114
4.257,115
4.161,109
4.189,110
4.150,106
4.107,108
4.107,108
4.118,104
4.121,105
4.099,99
4.101,94
4.067,92
4.080,90
4.008,86
4.032,86
4.000,84
4.019,88
4.006,90
4.012,91
4.031,95
3.991,97
4.020,98
4.051,106
4.241,117
4.199,106
9.012,98
8.983,97
8.958,103
8.937,98
8.921,100
8.901,101
9.075,114
8.937,98
4.106,86
4.065,97
4.044,98
3.993,92
4.024,99
4.028,100
4.021,111
3.882,90
3.860,86
3.852,84
3.852,84
3.876,84
3.884,86
3.905,85
3.938,91
3.993,92
3.987,91
4.123,112
4.111,109
4.118,104
6.672,116
6.634,106
10.956,95
10.969,98
10.944,98
4.002,47
3.904,59
3.905,66
3.857,67
3.859,69
3.904,59
3.952,51
10.949,99
10.928,100
10.986,102
10.953,100
10.961,96
10.998,93
10.956,95
10.958,101
10.969,104
10.898,93
10.924,99
10.978,100
6.742,108
6.681,118
6.602,104
6.569,102
6.569,102
6.577,104
6.527,104
6.552,104
6.527,104
6.538,107
6.580,105
6.578,111
6.530,105
8.861,98
8.753,96
8.766,99
8.707,97
8.645,100
8.693,106
8.670,100
8.675,101
8.741,99
8.761,98
8.744,94
8.792,99
7.218,101
7.284,99
7.284,99
7.304,98
7.313,100
7.259,99
7.300,97
7.271,96
7.259,99
7.284,99
7.321,102
7.307,105
7.313,100
7.271,102
7.288,100
8.610,104
7.380,104
6.764,107
6.557,112
6.503,111
6.541,108
8.779,96
8.747,90
8.765,89
8.723,95
8.650,101
8.700,101
8.647,90
8.615,89
8.531,82
8.621,90
8.593,94
8.686,104
8.552,102
7.360,99
7.247,87
7.300,97
7.227,92
7.271,96
7.266,95
7.225,103
6.778,104
6.569,96
6.758,99
7.246,96
7.208,93
7.197,87
7.242,86
7.237,94
7.250,97
7.237,94
7.250,103
7.246,96
7.343,108
7.304,104
7.007,93
7.251,110
7.352,123
7.390,120
8.787,104
8.794,106
8.739,105
8.753,96
8.600,71
8.652,81
8.774,95
8.868,106
8.905,109
8.884,123
7.560,125
7.450,116
7.287,94
7.259,99
7.291,95
7.250,97
7.227,92
7.265,90
7.312,94
7.364,100
7.321,102
7.343,108
7.296,96
7.271,102
7.183,93
7.196,91
